Name: Anonre, Pop. 27233508, Seats: 1, D: 1.4142135623730951, PD: 1.925699818229809E7
Name: Usarar, Pop. 227265421, Seats: 12, D: 12.489995996796797, PD: 1.819579614423294E7
Name: Biated, Pop. 363597111, Seats: 19, D: 19.493588689617926, PD: 1.8652138238335144E7
Name: Tiraan, Pop. 219762246, Seats: 11, D: 11.489125293076057, PD: 1.9127848325619716E7
Name: Maraes, Pop. 350184181, Seats: 18, D: 18.49324200890693, PD: 1.8935791833110724E7
Name: Cexeri, Pop. 406095912, Seats: 21, D: 21.494185260204677, PD: 1.8893291701168347E7
Name: Leisza, Pop. 179048138, Seats: 9, D: 9.486832980505138, PD: 1.8873330896404836E7
Name: Antiises, Pop. 427721652, Seats: 22, D: 22.494443758403985, PD: 1.9014546729576368E7
Name: Texeve, Pop. 42163741, Seats: 2, D: 2.449489742783178, PD: 1.7213275182811093E7
Name: Raisle, Pop. 323987606, Seats: 17, D: 17.4928556845359, PD: 1.852113867756954E7
Name: Orusri, Pop. 309627690, Seats: 16, D: 16.492422502470642, PD: 1.8773936330676485E7
Name: Uslela, Pop. 230831998, Seats: 12, D: 12.489995996796797, PD: 1.8481350839439783E7
Name: Enbeat, Pop. 272305325, Seats: 14, D: 14.491376746189438, PD: 1.8790852640802655E7
Name: Ingeza, Pop. 26920782, Seats: 1, D: 1.4142135623730951, PD: 1.9035867507044747E7
Name: Oraan, Pop. 26897390, Seats: 1, D: 1.4142135623730951, PD: 1.901932686521923E7
Name: Zabive, Pop. 217524437, Seats: 11, D: 11.489125293076057, PD: 1.8933072053021435E7
Name: Raerat, Pop. 350033495, Seats: 18, D: 18.49324200890693, PD: 1.8927643667422555E7
Name: Onvetige, Pop. 386273543, Seats: 20, D: 20.493901531919196, PD: 1.884821893958942E7
Name: Ata, Pop. 25976797, Seats: 1, D: 1.4142135623730951, PD: 1.836836931220636E7
Name: Cexebe, Pop. 26938513, Seats: 1, D: 1.4142135623730951, PD: 1.9048405217381965E7
Name: Beteerti, Pop. 26978175, Seats: 1, D: 1.4142135623730951, PD: 1.9076450486537386E7
Name: Aronre, Pop. 349290433, Seats: 18, D: 18.49324200890693, PD: 1.888746347621313E7
Name: Axebi, Pop. 26961009, Seats: 1, D: 1.4142135623730951, PD: 1.9064312291531537E7
Name: Lebeatma Maaesquin, Pop. 372503357, Seats: 19, D: 19.493588689617926, PD: 1.9109019018052395E7
Name: Quenla, Pop. 248605713, Seats: 13, D: 13.490737563232042, PD: 1.8427881487929583E7
Name: Iserxe, Pop. 371962162, Seats: 19, D: 19.493588689617926, PD: 1.9081256300339557E7
Name: Bileza, Pop. 234004321, Seats: 12, D: 12.489995996796797, PD: 1.873533995207149E7
Name: Isbisodi, Pop. 46220103, Seats: 2, D: 2.449489742783178, PD: 1.886927803481367E7
Name: Enladice, Pop. 306342593, Seats: 16, D: 16.492422502470642, PD: 1.857474806712649E7
Name: Eder, Pop. 368259152, Seats: 19, D: 19.493588689617926, PD: 1.8891295895461816E7
Name: Arraer, Pop. 232919243, Seats: 12, D: 12.489995996796797, PD: 1.8648464183634233E7
Name: Orraso, Pop. 349238011, Seats: 18, D: 18.49324200890693, PD: 1.8884628819100294E7
Name: Teainus, Pop. 274857044, Seats: 14, D: 14.491376746189438, PD: 1.8966937980704606E7
Name: Arisra, Pop. 277160014, Seats: 14, D: 14.491376746189438, PD: 1.9125858008824475E7
Name: Vesoer, Pop. 386212231, Seats: 20, D: 20.493901531919196, PD: 1.8845227220325787E7
Name: Diisxe, Pop. 292804816, Seats: 15, D: 15.491933384829668, PD: 1.890046960095545E7
Name: Atage, Pop. 370081301, Seats: 19, D: 19.493588689617926, PD: 1.8984770166875497E7
Name: Diededra, Pop. 309488858, Seats: 16, D: 16.492422502470642, PD: 1.8765518404202726E7
Name: Endidibi, Pop. 347134596, Seats: 18, D: 18.49324200890693, PD: 1.8770889162257705E7
Name: Geceed, Pop. 370801834, Seats: 19, D: 19.493588689617926, PD: 1.9021732729873646E7
Name: Inatri, Pop. 314306054, Seats: 16, D: 16.492422502470642, PD: 1.9057603814898357E7
Name: Sosoce, Pop. 331450673, Seats: 17, D: 17.4928556845359, PD: 1.894777382134412E7
Name: Xelere, Pop. 159819573, Seats: 8, D: 8.48528137423857, PD: 1.883491730577308E7
Name: Teveen, Pop. 26452393, Seats: 1, D: 1.4142135623730951, PD: 1.870466646891156E7
Name: Raatve Inaedqu, Pop. 352185996, Seats: 18, D: 18.49324200890693, PD: 1.9044037591157682E7
Name: Inraisatdi, Pop. 350871869, Seats: 18, D: 18.49324200890693, PD: 1.8972977741328914E7
Name: Bior, Pop. 371562181, Seats: 19, D: 19.493588689617926, PD: 1.9060737707977287E7
Name: Orreon, Pop. 331867168, Seats: 17, D: 17.4928556845359, PD: 1.897158325575043E7
Name: Edor, Pop. 244168256, Seats: 13, D: 13.490737563232042, PD: 1.8098955291033283E7
Name: Socece, Pop. 366974139, Seats: 19, D: 19.493588689617926, PD: 1.8825376119454414E7
Name: Arraques, Pop. 283330809, Seats: 15, D: 15.491933384829668, PD: 1.828892507874124E7
Name: Usator, Pop. 245321254, Seats: 13, D: 13.490737563232042, PD: 1.8184421188994445E7
Name: Soinqu, Pop. 274662637, Seats: 14, D: 14.491376746189438, PD: 1.8953522623185102E7
Name: Tetior, Pop. 458341417, Seats: 24, D: 24.49489742783178, PD: 1.8711709993903458E7
Name: Maquvees, Pop. 291369045, Seats: 15, D: 15.491933384829668, PD: 1.8807790981422655E7
Name: Tequri, Pop. 307817477, Seats: 16, D: 16.492422502470642, PD: 1.8664176045325514E7
Name: Edri, Pop. 271020541, Seats: 14, D: 14.491376746189438, PD: 1.8702194121843245E7
Name: Eronor, Pop. 312020554, Seats: 16, D: 16.492422502470642, PD: 1.8919025022143222E7
Name: Raerar, Pop. 372047754, Seats: 19, D: 19.493588689617926, PD: 1.9085647077295143E7
Name: Receza, Pop. 26353620, Seats: 1, D: 1.4142135623730951, PD: 1.863482341081342E7
Name: Enuses, Pop. 333476119, Seats: 17, D: 17.4928556845359, PD: 1.9063560862438302E7
Name: Beusso, Pop. 274983677, Seats: 14, D: 14.491376746189438, PD: 1.8975676487902228E7
Name: Gesoan, Pop. 331746197, Seats: 17, D: 17.4928556845359, PD: 1.896466780396934E7
Name: Bilees, Pop. 376800609, Seats: 20, D: 20.493901531919196, PD: 1.8385987090507586E7
Name: Orusen, Pop. 233448202, Seats: 12, D: 12.489995996796797, PD: 1.8690814797688525E7
Name: Geonte, Pop. 283187148, Seats: 15, D: 15.491933384829668, PD: 1.827965180106625E7
Name: Enonen, Pop. 273324249, Seats: 14, D: 14.491376746189438, PD: 1.886116507680139E7
Name: Invea, Pop. 406684343, Seats: 21, D: 21.494185260204677, PD: 1.8920667988888793E7
Name: Ersousat, Pop. 307392945, Seats: 16, D: 16.492422502470642, PD: 1.863843501183353E7
Name: Ceate, Pop. 364360694, Seats: 19, D: 19.493588689617926, PD: 1.8691309219736155E7
Name: Tiesar, Pop. 262570686, Seats: 14, D: 14.491376746189438, PD: 1.8119098730149567E7
Name: Rebeso, Pop. 26069601, Seats: 1, D: 1.4142135623730951, PD: 1.8433991649927597E7
Name: Onedxe I, Pop. 234295435, Seats: 12, D: 12.489995996796797, PD: 1.8758647725754898E7
Name: Anceon, Pop. 227490082, Seats: 12, D: 12.489995996796797, PD: 1.8213783419813942E7
Name: Isaza, Pop. 38810623, Seats: 2, D: 2.449489742783178, PD: 1.5844370491587484E7
Name: Quorve, Pop. 37701429, Seats: 2, D: 2.449489742783178, PD: 1.539154393729471E7
Name: Userteor, Pop. 26611075, Seats: 1, D: 1.4142135623730951, PD: 1.8816871587163802E7
Name: Entelaen, Pop. 40517468, Seats: 2, D: 2.449489742783178, PD: 1.6541187044924276E7
Name: Vearso, Pop. 222086812, Seats: 12, D: 12.489995996796797, PD: 1.7781175595008735E7
Name: Istiat, Pop. 24236810, Seats: 1, D: 1.4142135623730951, PD: 1.7138012705329925E7
Name: Isveoror, Pop. 290807204, Seats: 15, D: 15.491933384829668, PD: 1.8771524300819047E7
Name: Reusar, Pop. 287530275, Seats: 15, D: 15.491933384829668, PD: 1.855999944342398E7
Name: Solera, Pop. 286263645, Seats: 15, D: 15.491933384829668, PD: 1.8478238828493867E7
Name: Xerean, Pop. 310265771, Seats: 16, D: 16.492422502470642, PD: 1.881262567421619E7
Name: Xeenve, Pop. 366345086, Seats: 19, D: 19.493588689617926, PD: 1.8793106381438706E7
Name: Betequ, Pop. 265341622, Seats: 14, D: 14.491376746189438, PD: 1.8310311480223753E7
Name: Anrati, Pop. 266250332, Seats: 14, D: 14.491376746189438, PD: 1.8373018427666754E7
Name: Ceceuses, Pop. 42520819, Seats: 2, D: 2.449489742783178, PD: 1.735905166587335E7
Name: Cexeri, Pop. 42587425, Seats: 2, D: 2.449489742783178, PD: 1.7386243451507982E7
Name: Oneser, Pop. 339588251, Seats: 18, D: 18.49324200890693, PD: 1.8362829558843363E7
Name: Erveer, Pop. 291767430, Seats: 15, D: 15.491933384829668, PD: 1.8833506622595638E7
Name: Inatxe, Pop. 22138772, Seats: 1, D: 1.4142135623730951, PD: 1.5654475808342865E7
Name: Usquza, Pop. 25517035, Seats: 1, D: 1.4142135623730951, PD: 1.8043268484274473E7
Name: Inbice, Pop. 23227178, Seats: 1, D: 1.4142135623730951, PD: 1.642409507162699E7
Name: Soridi, Pop. 339813366, Seats: 18, D: 18.49324200890693, PD: 1.8375002383915983E7
Name: Edri, Pop. 25367698, Seats: 1, D: 1.4142135623730951, PD: 1.7937671278892417E7
Name: Edbisoza, Pop. 24468560, Seats: 1, D: 1.4142135623730951, PD: 1.730188470186991E7
Name: Onlege, Pop. 250694336, Seats: 13, D: 13.490737563232042, PD: 1.858270052508085E7
Name: Raaon, Pop. 40774263, Seats: 2, D: 2.449489742783178, PD: 1.6646023164673945E7
